Title,Image,Description,Address,Zip,City,Area,Country,Slogan,Holes,Parking,since,video,Detail Url,Website,E-mail
ALS fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Flot 18 hullers bane,Nordborgvej 120,,6430 Nordborg,Sydjylland,Danmark,Sjov fodboldgolfbane,18 hullers bane,"Ja, gratis",2020,,https://fodboldgolf.dk/baner/als-fodboldgolf/,,
As Vig fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/as-vig-fodboldgolf-758x450.jpg,Fodboldgolfbane på 18 huller,Åstrupvej 11,,7130 Juelsminde,Østjylland,Danmark,Sjov på Jylland,18 hullers bane,"Ja, gratis",2018,,https://fodboldgolf.dk/baner/as-vig-fodboldgolf/,,
Ballum fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/ballum-fodboldgolf-758x564.jpg,Sjov 18 hullers bane i Ballum,Gaden 37a,,6261 Bredebro,Vestjylland,Danmark,Sjov bane,18 hullers bane,"Ja, gratis",2010,,https://fodboldgolf.dk/baner/ballum-fodboldgolf/,https://ballumfodboldgolf.dk/,
Blåvandshuk fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/blaavandshuk-fodboldgolf-758x513.jpg,Flot 18 huller fodboldgolfbane,Skallingevej 5,,6857 Blåvand,Vestjylland,Danmark,Flot bane,18 hullers bane,"Ja, gratis",2018,,https://fodboldgolf.dk/baner/blaavandshuk-fodboldgolf/,,
Bramdrupdam fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/Bramdrupdam-fodboldgolf-758x564.jpg,2 x 18-hullers fodboldgolf,Skovæblevej 3,,6000 Kolding,Sydjylland,Danmark,Sjov i Jylland,18 hullers bane,"Ja, gratis",2013,,https://fodboldgolf.dk/baner/bramdrupdam-fodboldgolf/,,
Bøsøre fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Underholdende fodboldgolf i Bøsøre,Bøsørevej 16,,5874 Hesselager,Fyn,Danmark,Fodboldgolf på Fyn,18 hullers bane,"Ja, gratis",2010,,https://fodboldgolf.dk/baner/boesoere-fodboldgolf/,,
Ebeltoft fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/ebeltoft-fodboldgolf-758x451.jpg,"Udfordrende, anderledes, sjov, og fantastisk udsigt.",Mølbjergvej 6,,8400 Ebeltoft,Østjylland,Danmark,Udfordrende bane,18 hullers bane,"Ja, gratis",2013,,https://fodboldgolf.dk/baner/ebeltoft-fodboldgolf/,https://ebeltoft-fodboldgolf.dk/,
Ejsing Fodboldgolfcenter,https://fodboldgolf.dk/wp-content/uploads/2020/10/ejsingfodboldgof2-758x530.jpg,"Vi har Danmarks bedste udsigt fra begge baneanlæg over Venø bugt. Kom og oplev sjov med bold for alle aldre og hele familien. Priserne er voksne 100 kr og børn 50 kr. Vi har åbent alle dage fra  09:00 – 21:00.

Vi har masser af forskellige faciliteter som f.eks. gratis Wi-fi, trækvogne, legeplads, grill, borde & bænke og bålplads. Det er tilladt at have hunde med i snor. Du kan betale kontant og mobilepay.

Banerekorden for bane A er 49 skud – Banerekorden for bane B er 58 skud. Husk at give besked til banen, hvis du slår rekorden.  Banerne har mange sjove forhindringer og flere hold-in-one huller og det længeste hul er 105 meter.

Har du spørgsmål, kan du læse mere på vores hjemmeside eller vores facebookside. Du kan også ringe på telefon 40 95 69 95

Vi laver også firma arrangementer og  fødselsdage, så hvis du ønsker et sjovt og anderledes arrangement, så kontakt os for flere informationer.",Ejsingholmvej 16,,7830 Vinderup,Midtjylland,Danmark,To sjove og udfordrende baner,36 hullers bane,"Ja, gratis",2010,,https://fodboldgolf.dk/baner/ejsing-fodboldgolf/,https://www.ejsingfodboldgolf.dk/,
Englykke fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/englykke-fodboldgolf-758x564.jpg,Sjov fodboldgolfbane på 18 huller,Ho Bugt Vej 19,,6852 Billum,Vestjylland,Danmark,Udfordrende bane,18 hullers bane,"Ja, gratis",2010,,https://fodboldgolf.dk/baner/englykke-fodboldgolf/,,
Fanø fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/fanoe-fodboldgolf-758x533.jpg,Udfordrende bane på Fanø,Postvejen 7b,,6720 Fanø,Vestjylland,Danmark,Fodboldgolf i Jylland,18 hullers bane,"Ja, gratis",2013,,https://fodboldgolf.dk/baner/fanoe-fodboldgolf/,https://www.fanoe-fodboldgolf.dk/,
Filskov fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/filskov-fodboldgolf-758x564.jpg,Sjov fodboldgolfbane på 18 huller,Hjortlundvej 1D-E,,7200 Grindsted,Sydjylland,Danmark,Udfordrende 18 hullers,18 hullers bane,"Ja, gratis",2015,,https://fodboldgolf.dk/baner/filskov-fodboldgolf/,,
Fodboldgolf Bornholm,https://fodboldgolf.dk/wp-content/uploads/2020/10/fodboldgolf-bornholm.jpg,Danmarks kønneste og billigste bane,Kattesletsvejen 5,,3730 Nexø,Bornholm,Danmark,Fodboldgolf på Bornholm,18 hullers bane,"Ja, gratis",2010,,https://fodboldgolf.dk/baner/fodboldgolf-bornholm/,,
