Spiller,Year,Event,Match,Hold,Tid,Noter,Youtube,,,,,,,
Damian Mori,1995,Australsk liga,Adelaide City mod Sydney United,,3.69,,https://www.youtube.com/watch?v=-djDGqsOpR0,,,,,,,
Barrie Jones,1962,,Notts County mod Torquay United,,6.00,,,,,,,,,
Keith Smith,1964,,Crystal Palace mod Derby County,,6.00,,,,,,,,,
Tommy Langley,1980,,QPR mod Bolton Wanderers,,6.00,,,,,,,,,
Rafael Leão,2020,Serie A,,,6.20,"Hele opspillet og målet tog en del kortere tid, end dette tog at skrive - nemlig kun 6,2 sekunder.",https://www.youtube.com/watch?v=0gRM5GM0lhw,,,,,,,
Paolo Poggi,2001,Serie A,Piacencas - Fiorentina,Piacenca,8.00,,,,,,,,,
Shane Long,23. April 2019,Premier League,Southampton vs. Watford,,7.69,,https://www.youtube.com/watch?v=wQVQz7rOuwo,,,,,,,
Ledley King,9. December 2000,Premier League,Tottenham vs. Bradford City,,9.82,,,,,,,,,
Alan Shearer,18. January 2003,Premier League,Newcastle vs. Manchester City,,10.52,,,,,,,,,
Christian Eriksen,31. January 2018,Premier League,Tottenham vs. Manchester United,,10.54,,,,,,,,,
Mark Viduka,17. March 2001,Premier League,Leeds vs. Charlton,,11.90,,,,,,,,,
Dmitri Kirichenko,20.06.2004,EM,RUS - GRE,,67,,https://www.youtube.com/watch?v=pljDFdnSdKo,,,,,,,
Robert Lewandowski,30.06.2016,EM,POL - POR,,100,,,,,,,,,
Robbie Brady,26.06.2016,EM,FRA - IRL,,120,,,,,,,,,
Sergei Aleinikov,18.06.1988,EM,ENG - SOV,,127,,,,,,,,,
Petr Jirácek,12.06.2012,EM,GRE - TJK,,134,,,,,,,,,
Alan Shearer,23.06.1996,EM,ENG - TYS,,134,,,,,,,,,
Michael Owen,24.06.2004,EM,POR - ENG,,145,,,,,,,,,
Hristo Stoichkov,13.06.1996,EM,BUL - RUM,,147,,,,,,,,,1
Yussuf Poulsen,2021,EM,Danmark – Belgien,,87.00,,,,,,,,,
Luke Shaw,2021,EM,Italien - England,,107.00,,,,,,,,,
Hakan Sükür,29.06.2002,VM,KOR - TYR,,11,,https://www.youtube.com/watch?v=0jVIEZmZV_M,,,,,,,
Václav Masek,07.06.1962,VM,MEX - TJE,,16,,,,,,,,,
Ernest Lehner,07.06.1934,VM,TYS - OST,,25,,,,,,,,,
Bryan Robson,16.06.1982,VM,ENG - FRA,,27,,,,,,,,,
Clint Dempsey,16.06.2014,VM,GHA - USA,,32,,,,,,,,,
Arne Nyberg,16.06.1938,VM,UNG - SVE,,35,,,,,,,,,
Émile Veinante,05.06.1938,VM,FRA - BEL,,35,,,,,,,,,
Bernard Lacombe,02.06.1978,VM,ITA - FRA,,37,,,,,,,,,
Flórián Albert,03.06.1962,VM,UNG - BUL,,50,,,,,,,,,
Adalbert Desu,14.07.1930,VM,RUM - PER,,50,,,,,,,,,
Emil Lyng,20.03.2011,Superliga,FCN - EFB,20.03.2011,9,,https://www.youtube.com/watch?v=Geux6yATBTw,,,,,,,
Emiliano Marcondes,11.05.2014,Superliga,VFF - FCN,11.05.2014,14,,,,,,,,,
Tiémoko Konaté,03.03.2019,Superliga,VEN - AGF,03.03.2019,15,,,,,,,,,
Peter Utaka,31.08.2009,Superliga,SIF - OB,31.08.2009,16,,,,,,,,,
Peter Graulund,20.07.2009,Superliga,AGF - AaB,20.07.2009,16,,,,,,,,,
Eduard Demenkovets,30.07.1995,Superliga,VB - BIF,30.07.1995,16,,,,,,,,,
Søren Friis,14.04.2008,Superliga,VFF - ACH,14.04.2008,17,,,,,,,,,
Baba Collins,05.04.2007,Superliga,AaB - FCM,05.04.2007,17,,,,,,,,,
Tim Janssen,13.09.2009,Superliga,EFB - HBK,13.09.2009,18,,,,,,,,,
Frank Kristensen,31.05.2009,Superliga,BIF - FCM,31.05.2009,18,,,,,,,,,
Eduard Demenkovets,23.05.1996,Superliga,VB - IFS,23.05.1996,18,,,,,,,,,
Frank Kristensen,04.10.2006,Superliga,FCM - FCN,04.10.2006,20,,,,,,,,,
Alexander Fischer,10.11.2012,Superliga,FCN - RFC,10.11.2012,21,,,,,,,,,
Paul Onuachu,20.05.2017,Superliga,FCN - FCM,20.05.2017,22,,,,,,,,,
Michael Gravgaard,26.09.2004,Superliga,VFF - EFB,26.09.2004,23,,,,,,,,,
Lars Elstrup,08.09.1991,Superliga,NBK - OB,08.09.1991,23,,,,,,,,,
Andreas Skov Olsen,08.04.2019,Superliga,FCN - BIF,08.04.2019,27,,,,,,,,,
Thomas Lindrup,01.04.2007,Superliga,FCN - VFF,01.04.2007,27,,,,,,,,,
Jerry Lucena,20.04.2008,Superliga,AGF - LBK,20.04.2008,28,,,,,,,,,
Jannik Pohl,29.05.2016,Superliga,OB - AaB,29.05.2016,29,,,,,,,,,
