Stadium,Capacity,City,Country,Region,Teams,Sports
Narendra Modi Stadium[1],132000,"Ahmedabad, Gujarat",India,South Asia,India national cricket team,Cricket
Rungrado 1st of May Stadium,150000,Pyongyang,North Korea,East Asia,Korea DPR national football team*,"Association football, athletics, mass games"
Michigan Stadium,107601,"Ann Arbor, Michigan",United States,North America,Michigan Wolverines football,American football
Beaver Stadium,106572,"State College, Pennsylvania",United States,North America,Penn State Nittany Lions football,American football
Ohio Stadium,102780,"Columbus, Ohio",United States,North America,Ohio State Buckeyes football,American football
Kyle Field,102733,"College Station, Texas",United States,North America,Texas A&M Aggies football,American football
Neyland Stadium,102455,"Knoxville, Tennessee",United States,North America,Tennessee Volunteers football,American football
Tiger Stadium,102321,"Baton Rouge, Louisiana",United States,North America,LSU Tigers football,American football
Darrell K Royal–Texas Memorial Stadium,100119,"Austin, Texas",United States,North America,Texas Longhorns football,American football
Bryant–Denny Stadium,100077,"Tuscaloosa, Alabama",United States,North America,Alabama Crimson Tide football,American football
Melbourne Cricket Ground,100024,Melbourne,Australia,Oceania,"Australia national cricket team, Victorian Bushrangers, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC","Cricket, Australian rules football"
Camp Nou,99354,Barcelona,Spain,Europe,FC Barcelona,Association football
FNB Stadium,94736,Johannesburg,South Africa,Africa,"South African national football team, Kaizer Chiefs F.C.",Association football
Sanford Stadium,92746,"Athens, Georgia",United States,North America,Georgia Bulldogs football,American football
Cotton Bowl Stadium,92100,"Dallas, Texas",United States,North America,City of Dallas,American football
Rose Bowl,90888,"Pasadena, California",United States,North America,"UCLA Bruins football, Rose Bowl Game",American football
Wembley Stadium,90000,London,United Kingdom,Europe,England national football team,"Association football, rugby league, American football"
Ben Hill Griffin Stadium,88548,"Gainesville, Florida",United States,North America,Florida Gators football,American football
Jordan–Hare Stadium,87451,"Auburn, Alabama",United States,North America,Auburn Tigers football,American football
Bukit Jalil National Stadium,87411,Kuala Lumpur,Malaysia,Southeast Asia,Malaysia national football team,"Association football, athletics"
Estadio Azteca,87000,Mexico City,Mexico,North America,"Club América, Cruz Azul, Mexico national football team",Association football
Memorial Stadium,86047,"Lincoln, Nebraska",United States,North America,Nebraska Cornhuskers football,American football
Borg El Arab Stadium,86000,Alexandria,Egypt,Africa,Egypt national football team,Association football
Salt Lake Stadium,85000,Kolkata,India,South Asia,"India national football team, SC East Bengal, ATK Mohun Bagan FC, Mohammedan S.C.",Association football
Stadium Australia,83500,Sydney,Australia,Oceania,"New South Wales Blues, Canterbury-Bankstown Bulldogs, South Sydney Rabbitohs.","Rugby league, rugby union, cricket, Australian rules football"
MetLife Stadium,82500,"East Rutherford, New Jersey",United States,North America,"New York Giants, New York Jets","American football, association football"
Croke Park,82300,Dublin,Ireland,Europe,GAA,"Gaelic football, hurling, camogie"
FedExField,82000,"Landover, Maryland",United States,North America,Washington Football Team,American football
Twickenham Stadium,82000,London,United Kingdom,Europe,England national rugby union team,Rugby union
Memorial Stadium,81500,"Clemson, South Carolina",United States,North America,Clemson Tigers football,American football
Lambeau Field,81441,"Green Bay, Wisconsin",United States,North America,Green Bay Packers,American football
Stade de France,81338,Saint-Denis,France,Europe,"France national football team, France national rugby union team[34]*, Stade Français*, Racing Métro*","Association football, rugby union, athletics"
Estadio Santiago Bernabéu,81044,Madrid,Spain,Europe,Real Madrid C.F.,Association football
Shah Alam Stadium,80372,Shah Alam,Malaysia,Southeast Asia,Selangor FA,Association football
Camp Randall Stadium,80321,"Madison, Wisconsin",United States,North America,Wisconsin Badgers football,American football
Williams-Brice Stadium,80250,"Columbia, South Carolina",United States,North America,South Carolina Gamecocks football,American football
Gaylord Family Oklahoma Memorial Stadium,80126,"Norman, Oklahoma",United States,North America,Oklahoma Sooners football,American football
Estadio Monumental,80093,Lima,Peru,South America,Universitario de Deportes,Association football
Guangdong Olympic Stadium,80012,"Guangzhou, Guangdong",China,East Asia,,"Association football, athletics"
AT&T Stadium,80000,"Arlington, Texas",United States,North America,"Dallas Cowboys, Cotton Bowl",American football
Beijing National Stadium,80000,Beijing,China,East Asia,,"Athletics, association football"
Stade 5 Juillet 1962,80000,Algiers,Algeria,Africa,MC Algiers,Association football
Stade des Martyrs,80000,Kinshasa,Democratic Republic of the Congo,Africa,Congo DR national football team,Association football
National Stadium,80000,Tokyo,Japan,East Asia,Japan national football team,"Association football, athletics, rugby union"
Hangzhou Sports Park Stadium,80000,Hangzhou,China,East Asia,,"Association football, athletics"
Doak Campbell Stadium,79560,"Tallahassee, Florida",United States,North America,Florida State Seminoles football,American football
Estádio do Maracanã,78838,Rio de Janeiro,Brazil,South America,"Flamengo, Fluminense, Brazil national football team",Association football
Azadi Stadium,78116,Tehran,Iran,West Asia,"Iran national football team, Persepolis, Esteghlal",Association football
Luzhniki Stadium,78011,Moscow,Russia,Europe,Russia national football team,Association football
Notre Dame Stadium,77622,"South Bend, Indiana",United States,North America,Notre Dame Fighting Irish football,American football
Los Angeles Memorial Coliseum,77500,Los Angeles,United States,North America,USC Trojans football,American football
Mercedes-Benz Stadium,77430,Atlanta,United States,North America,"Atlanta Falcons, Atlanta United FC","American football, association football"
Gelora Bung Karno Stadium,77193,Jakarta,Indonesia,Southeast Asia,"Indonesia national football team, Persija Jakarta","Association football, athletics"
TIAA Bank Field,76867,"Jacksonville, Florida",United States,North America,Jacksonville Jaguars,American football
Arrowhead Stadium,76412,"Kansas City, Missouri",United States,North America,Kansas City Chiefs,American football
Donald W. Reynolds Razorback Stadium,76212,"Fayetteville, Arkansas",United States,North America,Arkansas Razorbacks football[56],American football
Empower Field at Mile High,76125,Denver,United States,North America,"Denver Broncos, Denver Outlaws","American football, lacrosse"
Atatürk Olympic Stadium,76092,Istanbul,Turkey,West Asia,İstanbul Büyükşehir Belediyesi S.K.,"Association football, athletics"
Stadio Giuseppe Meazza (San Siro),80018,Milan,Italy,Europe,"A. C. Milan, F.C. Internazionale Milano, Atalanta B. C. (only UCL 2019/20 matches)",Association football
Old Trafford,75639,Manchester,United Kingdom,Europe,Manchester United F.C.,"Association football, rugby league"
Spartan Stadium,75025,"East Lansing, Michigan",United States,North America,Michigan State Spartans football,American football
Athens Olympic Stadium,75000,Athens,Greece,Europe,AEK Athens,"Association football, athletics"
Allianz Arena,75000,Munich,Germany,Europe,Bayern Munich,Association football
Naghsh-e Jahan Stadium,75000,Isfahan,Iran,West Asia,Sepahan S.C.,Association football
Principality Stadium,74500,Cardiff,United Kingdom,Europe,Wales national rugby union team,"Rugby union, association football,"
Olympiastadion,74228,Berlin,Germany,Europe,Hertha BSC Berlin,"Association football, athletics"
Cairo International Stadium,74100,Cairo,Egypt,Africa,"Egypt national football team, El Ahly, El Zamalek",Association football
Bills Stadium,73967,"Orchard Park, New York",United States,North America,Buffalo Bills,American football
